review_type,date,rating,content,postcode,lat,lng,user,gin
UserProfile.DISTILLERY_OWNER,16/12/2016,3,,M6 5FT,53.48861512,-2.283810464,,Tanqueray London Dry 
UserProfile.BASIC,26/06/2016,3,,LU7 4DP,51.9032039,-0.647551,Rozz,Tanqueray London Dry 
UserProfile.BASIC,07/03/2017,4,,DE21 7UA,52.91316343,-1.405608803,,Tanqueray No. Ten Gin
UserProfile.EXPERT,23/02/2017,3,,S63 6FU,53.50582578,-1.370636261,,Tanqueray No. Ten Gin
UserProfile.BASIC,03/11/2016,5,,PL9 7FW,50.368806,-4.100866,Matt,Tanqueray No. Ten Gin
UserProfile.EXPERT,27/08/2016,1,,AL8 6DH,51.80141774,-0.208348836,,Tanqueray No. Ten Gin
UserProfile.BASIC,11/03/2016,5,,BT93 4DY,54.387641,-8.00167,,Tanqueray No. Ten Gin
UserProfile.BASIC,04/04/2016,3,,PE4 7BN,52.61264062,-0.236755318,,Tanqueray Rangpur Gin
UserProfile.BASIC,21/02/2017,5,,E15 2TG,51.53557612,-0.003211733,,Tanqueray Rangpur Gin
UserProfile.ADMIN,18/02/2016,3,,S3 8DL,53.388289,-1.47511,,Tanqueray Rangpur Gin
UserProfile.BASIC,12/08/2016,1,,SG17 9SG,52.03560625,-0.36053924,,Tanqueray Rangpur Gin
UserProfile.BASIC,15/06/2016,3,,CA10 2AX,54.65758816,-2.737007776,,Tanqueray Rangpur Gin
UserProfile.EXPERT,15/07/2016,1,,PO13 8NF,50.80167928,-1.16810348,,Tanqueray Rangpur Gin
UserProfile.BASIC,12/08/2016,3,,DN11 8HY,53.42345186,-1.069273926,,Eden Mill Love Gin
UserProfile.DISTILLERY_OWNER,05/10/2016,3,,CT1 2NE,51.276793,1.074617,,Gordon's London Dry Gin
UserProfile.BASIC,14/06/2016,4,,SE5 5GE,51.473914,-0.096725,,Gordon's Crisp Cucumber
UserProfile.EXPERT,23/08/2016,2,,BT93 4DY,54.387641,-8.00167,,Gordon's with a Spot of Elderflower
UserProfile.ADMIN,30/05/2016,5,,FY1 1HA,53.81793119,-3.055616,,Gordon's Sloe Gin
UserProfile.BASIC,18/07/2016,1,,PH35 4AA,57.06962745,-4.795727,,Isle of Harris Gin
UserProfile.BASIC,29/07/2016,2,,SG17 9SG,52.03560625,-0.36053924,,The Botanist Islay Dry Gin
UserProfile.EXPERT,14/06/2016,2,,M6 5FT,53.48861512,-2.283810464,,Eden Mill Original Gin
UserProfile.BASIC,09/06/2016,5,,PE4 7BN,52.61264062,-0.236755318,,Eden Mill Hop Gin
UserProfile.BASIC,06/02/2017,1,,E15 2TG,51.53557612,-0.003211733,,Eden Mill Oak Gin
